input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,search_term,PROPERTY_TYPE,PROPERTY_TYPE_SHORT,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,MAIN_HEATING_FUEL,ELECTRICITY_SOURCE,RENEWABLE_SOURCES,BUILDING_ENVIRONMENT,BUILDING_EMISSIONS,Demand KWH,Demand MWH,Demand GWH
,,,,K692400150 00005,OFFICE,150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,JOBS & BUSINESS GLASGOW,"£1,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00005&PPRN=47318082&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00010,OFFICE,UNIT G1150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,NHS GREATER GLASGOW & CLYDE,"£13,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00010&PPRN=47332719&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00020,OFFICE,UNIT G2150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,NHS GREATER GLASGOW & CLYDE,"£7,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00020&PPRN=47315059&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00021,OFFICE,UNIT G10150 BRAND STREETGLASGOWG51 1DH,GLASGOW SOUTH WEST REGENERATION AGENCY,SACRO,"£9,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00021&PPRN=47365293&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00030,OFFICE,UNIT G3150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,GREATER GLASGOW HEALTH BOARD,"£14,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00030&PPRN=47315067&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00040,OFFICE,UNIT G4150 BRAND STREETGLASGOWG51 1DH,GLASGOW SOUTH WEST REGENERATION AGENCY,NHS GREATER GLASGOW & CLYDE,"£22,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00040&PPRN=47320001&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00050,OFFICE,UNIT G5150 BRAND STREETGLASGOWG51 1DH,GLASGOW SOUTH WEST REGENERATION AGENCY,IMAGE SYSTEMS & TECHNOLOGY LTD,"£6,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00050&PPRN=47317280&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00060,OFFICE,UNIT G6150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,,"£6,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00060&PPRN=47343052&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00070,OFFICE,UNITS G7 & G8150 BRAND STREETGLASGOWG51 1DH,GLASGOW SOUTH WEST REGENERATION AGENCY,NHS GREATER GLASGOW & CLYDE,"£34,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00070&PPRN=47329521&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00090,OFFICE,UNIT G9150 BRAND STREETGLASGOWG51 1DH,GLASGOW SOUTH WEST REGENERATION AGENCY,MOCHRIDHE LTD,"£7,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+BRAND+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00090&PPRN=47315075&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+BRAND+STREET&searchtype=listing#results,,150 BRAND STREET,GLASGOW,G51 1DH,150 BRAND STREET,Offices and Workshop businesses,Office/Workshop,91,60,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,59.99,"9,100.00",9.1,0.01
,,,,K692400150 00005,OFFICE,150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,JOBS & BUSINESS GLASGOW,"£1,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+Brand+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00005&PPRN=47318082&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+Brand+Street&searchtype=listing#results,,150 Brand Street,Glasgow,G51 1DH,150 Brand Street,Offices and Workshop businesses,Office/Workshop,12,58,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,58.03,"1,200.00",1.2,0
,,,,K692400150 00010,OFFICE,UNIT G1150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,NHS GREATER GLASGOW & CLYDE,"£13,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+Brand+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00010&PPRN=47332719&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+Brand+Street&searchtype=listing#results,,150 Brand Street,Glasgow,G51 1DH,150 Brand Street,Offices and Workshop businesses,Office/Workshop,12,58,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,58.03,"1,200.00",1.2,0
,,,,K692400150 00020,OFFICE,UNIT G2150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,NHS GREATER GLASGOW & CLYDE,"£7,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+Brand+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00020&PPRN=47315059&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+Brand+Street&searchtype=listing#results,,150 Brand Street,Glasgow,G51 1DH,150 Brand Street,Offices and Workshop businesses,Office/Workshop,12,58,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,58.03,"1,200.00",1.2,0
,,,,K692400150 00021,OFFICE,UNIT G10150 BRAND STREETGLASGOWG51 1DH,GLASGOW SOUTH WEST REGENERATION AGENCY,SACRO,"£9,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+Brand+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00021&PPRN=47365293&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+Brand+Street&searchtype=listing#results,,150 Brand Street,Glasgow,G51 1DH,150 Brand Street,Offices and Workshop businesses,Office/Workshop,12,58,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,58.03,"1,200.00",1.2,0
,,,,K692400150 00030,OFFICE,UNIT G3150 BRAND STREETGLASGOWG51 1DH,JOBS & BUSINESS GLASGOW,GREATER GLASGOW HEALTH BOARD,"£14,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+Brand+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00030&PPRN=47315067&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+Brand+Street&searchtype=listing#results,,150 Brand Street,Glasgow,G51 1DH,150 Brand Street,Offices and Workshop businesses,Office/Workshop,12,58,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,58.03,"1,200.00",1.2,0
,,,,K692400150 00040,OFFICE,UNIT G4150 BRAND STREETGLASGOWG51 1DH,GLASGOW SOUTH WEST REGENERATION AGENCY,NHS GREATER GLASGOW & CLYDE,"£22,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=150+Brand+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K692400150+00040&PPRN=47320001&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=150+Brand+Street&searchtype=listing#results,,150 Brand Street,Glasgow,G51 1DH,150 Brand Street,Offices and Workshop businesses,Office/Workshop,12,58,D,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,58.03,"1,200.00",1.2,0
