input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,search_term,PROPERTY_TYPE,PROPERTY_TYPE_SHORT,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,MAIN_HEATING_FUEL,ELECTRICITY_SOURCE,RENEWABLE_SOURCES,BUILDING_ENVIRONMENT,BUILDING_EMISSIONS,Demand KWH,Demand MWH,Demand GWH
,,,,L242400045,SCHOOL,ST CONSTANTINE'S PRIMARY45 DRUMOYNE ROADGLASGOWG51 4AX,GLASGOW CITY COUNCIL BUDGET SUPPORT OFFICER,ST CONSTANTINES PRIMARY SCHOOL,"£205,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=45+Drumoyne+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400045&PPRN=47436417&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=45+Drumoyne+Road&searchtype=listing#results,,45 Drumoyne Road,Glasgow,G51 4AX,45 Drumoyne Road,D1 Non-residential Institutions - Education,Education,142,25,B,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,24.66,"7,810.00",7.81,0.01
,,,,L242400250 U0001,SHOP,UNIT 1250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,TAHIR BROTHERS LIMITED,"£14,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0001&PPRN=47436131&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U0002,SHOP,UNIT 2250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,CLASSY CURATIONS LTD,"£23,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0002&PPRN=47430214&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U0003,SHOP,UNIT 3250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,DOMINOS PIZZA,"£14,800",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0003&PPRN=47429402&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U0004,SHOP,UNIT 4250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,GOOD FOOD 2 GO 4 LIMITED,"£18,800",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0004&PPRN=47455047&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U005A,SHOP,UNIT 5A250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,IBROWS & BEAUTY LTD,"£6,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U005A&PPRN=47526203&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U005B,SHOP,UNIT 5B250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD PER LARGS PROPERTIES LTD,RODLAK LTD,"£18,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U005B&PPRN=47440007&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U005C,SALON,UNIT 5C250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,FRESHCUT BARBER GLASGOW LIMITED,"£5,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U005C&PPRN=47526211&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U0006,BETTING OFFICE,UNIT 6250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,DONE BROTHERS (CASH BETTING) LTD T/A BETFRED,"£27,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0006&PPRN=47435127&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 00010,ADVERTISING STATION,250 DRUMOYNE ROADGLASGOWG51 4BH,GLASGOW CITY COUNCIL BUDGET SUPPORT OFFICER,LARGS PROPERTIES LTD,"£45,750",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+00010&PPRN=47551860&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Restaurants and Cafes/Drinking Establishments/Takeaways,Restaurant/Cafes/takeaway,83,169,G,Natural Gas,Grid supplied,Heat pumps,Air Conditioning,169.39,"9,960.00",9.96,0.01
,,,,L242400250 U0001,SHOP,UNIT 1250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,TAHIR BROTHERS LIMITED,"£14,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0001&PPRN=47436131&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Retail/Financial and Professional services,Retail/Financial,259,66,E+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,65.83,"31,080.00",31.08,0.03
,,,,L242400250 U0002,SHOP,UNIT 2250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,CLASSY CURATIONS LTD,"£23,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0002&PPRN=47430214&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Retail/Financial and Professional services,Retail/Financial,259,66,E+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,65.83,"31,080.00",31.08,0.03
,,,,L242400250 U0003,SHOP,UNIT 3250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,DOMINOS PIZZA,"£14,800",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0003&PPRN=47429402&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Retail/Financial and Professional services,Retail/Financial,259,66,E+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,65.83,"31,080.00",31.08,0.03
,,,,L242400250 U0004,SHOP,UNIT 4250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,GOOD FOOD 2 GO 4 LIMITED,"£18,800",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U0004&PPRN=47455047&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Retail/Financial and Professional services,Retail/Financial,259,66,E+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,65.83,"31,080.00",31.08,0.03
,,,,L242400250 U005A,SHOP,UNIT 5A250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,IBROWS & BEAUTY LTD,"£6,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U005A&PPRN=47526203&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Retail/Financial and Professional services,Retail/Financial,259,66,E+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,65.83,"31,080.00",31.08,0.03
,,,,L242400250 U005B,SHOP,UNIT 5B250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD PER LARGS PROPERTIES LTD,RODLAK LTD,"£18,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U005B&PPRN=47440007&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Retail/Financial and Professional services,Retail/Financial,259,66,E+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,65.83,"31,080.00",31.08,0.03
,,,,L242400250 U005C,SALON,UNIT 5C250 DRUMOYNE ROADGLASGOWG51 4BH,LARGS PROPERTIES LTD,FRESHCUT BARBER GLASGOW LIMITED,"£5,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400250+U005C&PPRN=47526211&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=250+DRUMOYNE+ROAD&searchtype=listing#results,,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,250 DRUMOYNE ROAD,Retail/Financial and Professional services,Retail/Financial,259,66,E+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,65.83,"31,080.00",31.08,0.03
