input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,search_term,PROPERTY_TYPE,PROPERTY_TYPE_SHORT,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,MAIN_HEATING_FUEL,ELECTRICITY_SOURCE,RENEWABLE_SOURCES,BUILDING_ENVIRONMENT,BUILDING_EMISSIONS,Demand KWH,Demand MWH,Demand GWH
,,,,K997800120 00012,OFFICES,UNIT 3A & 4120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS LEARNING DISABILITY,"£22,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00012&PPRN=47358203&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,150,35,C+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,34.64,"12,750.00",12.75,0.01
,,,,K997800120 00020,OFFICE,UNIT 5A120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£32,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00020&PPRN=47254351&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,150,35,C+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,34.64,"12,750.00",12.75,0.01
,,,,K997800120 00028,OFFICE,UNIT 8D120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£1,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00028&PPRN=47397349&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,150,35,C+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,34.64,"12,750.00",12.75,0.01
,,,,K997800120 00030,OFFICE,UNITS 8 & 8E120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£15,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00030&PPRN=47254386&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,150,35,C+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,34.64,"12,750.00",12.75,0.01
,,,,K997800112 00005,OFFICE,112ACORNWALL STREET SOUTHGLASGOWG41 1AF,CLAREMONT CENTRE LTD,FATBUZZ LIMITED,"£33,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800112+00005&PPRN=47351810&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800112 00010,OFFICES,UNIT 3112 CORNWALL STREET SOUTHGLASGOWG41 1AF,CLAREMONT CENTRE LTD,CLAREMONT OFFICE INTERIORS LTD,"£58,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800112+00010&PPRN=47376961&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00007,OFFICE,UNIT 2120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£9,300",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00007&PPRN=47260793&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00008,STORE,UNIT 1B120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,£375,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00008&PPRN=47358173&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00010,OFFICE,UNIT 1 1A & 1B(PART)120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£16,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00010&PPRN=47315849&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00011,OFFICES,UNIT 3120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£10,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00011&PPRN=47261749&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00012,OFFICES,UNIT 3A & 4120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS LEARNING DISABILITY,"£22,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00012&PPRN=47358203&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00020,OFFICE,UNIT 5A120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£32,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00020&PPRN=47254351&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00028,OFFICE,UNIT 8D120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£1,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00028&PPRN=47397349&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800120 00030,OFFICE,UNITS 8 & 8E120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£15,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00030&PPRN=47254386&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,324,48,D+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,47.54,"27,540.00",27.54,0.03
,,,,K997800112 00005,OFFICE,112ACORNWALL STREET SOUTHGLASGOWG41 1AF,CLAREMONT CENTRE LTD,FATBUZZ LIMITED,"£33,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800112+00005&PPRN=47351810&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800112 00010,OFFICES,UNIT 3112 CORNWALL STREET SOUTHGLASGOWG41 1AF,CLAREMONT CENTRE LTD,CLAREMONT OFFICE INTERIORS LTD,"£58,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800112+00010&PPRN=47376961&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00007,OFFICE,UNIT 2120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£9,300",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00007&PPRN=47260793&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00008,STORE,UNIT 1B120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,£375,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00008&PPRN=47358173&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00010,OFFICE,UNIT 1 1A & 1B(PART)120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£16,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00010&PPRN=47315849&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00011,OFFICES,UNIT 3120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£10,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00011&PPRN=47261749&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00012,OFFICES,UNIT 3A & 4120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS LEARNING DISABILITY,"£22,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00012&PPRN=47358203&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00020,OFFICE,UNIT 5A120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£32,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00020&PPRN=47254351&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00028,OFFICE,UNIT 8D120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£1,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00028&PPRN=47397349&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800120 00030,OFFICE,UNITS 8 & 8E120 CORNWALL STREET SOUTHGLASGOWG41 1AF,CALEDONIAN HERITABLE LTD,NHS GREATER GLASGOW & CLYDE,"£15,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800120+00030&PPRN=47254386&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,472,45,C,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,45.46,"56,640.00",56.64,0.06
,,,,K997800112 00005,OFFICE,112ACORNWALL STREET SOUTHGLASGOWG41 1AF,CLAREMONT CENTRE LTD,FATBUZZ LIMITED,"£33,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800112+00005&PPRN=47351810&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,159,35,C+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,35.1,"13,515.00",13.52,0.01
,,,,K997800112 00010,OFFICES,UNIT 3112 CORNWALL STREET SOUTHGLASGOWG41 1AF,CLAREMONT CENTRE LTD,CLAREMONT OFFICE INTERIORS LTD,"£58,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Cornwall+Street+South&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=K997800112+00010&PPRN=47376961&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Cornwall+Street+South&searchtype=listing#results,,Cornwall Street South,Glasgow,G41 1AA,Cornwall Street South,General Industrial and Special Industrial Groups,General Industrial,159,35,C+,Grid Supplied Electricity,Grid supplied,None,Heating and Natural Ventilation,35.1,"13,515.00",13.52,0.01
